Latitude,Longitude
33.5078,84.4154
34.145,84.0116
34.1503,84.9246
34.3033,84.2372
34.0791,83.9768
32.4601,84.9314
34.0492,83.934
33.8588,84.6735
31.4571,83.4742
31.5513,83.5486
33.8738,84.1895
32.6283,84.7902
33.4238,84.6485
34.1647,83.8082
31.0948,84.3496
31.9218,84.5254
32.4757,84.9383
32.2518,84.9709
33.3469,84.1157
34.0122,83.6434
33.9821,84.0901
33.4991,81.8955
32.8541,83.7103
32.1803,83.1593
31.6053,84.1828
32.6154,83.6173
32.464,84.3217
33.9129,84.3042
33.9274,84.1115
34.0728,84.2749
32.3841,84.1615
30.8671,84.2128
31.6555,84.1779
34.1256,84.4987
31.0842,83.1808
31.5114,82.8246
31.2587,82.863
34.053,84.25
32.6562,83.0434
33.8919,84.106
34.1727,84.3615
33.4394,84.1719
33.8952,84.2093
33.6289,84.3516
32.664,83.8822
32.5656,83.683
32.8372,83.6582
32.6049,82.8672
33.9707,84.5338
34.1032,84.2668
33.4706,84.6391
33.8026,84.2376
34.2549,84.4886
31.5536,84.1566
33.7448,84.1417
31.6087,83.4872
31.5429,84.0426
34.2144,84.2254
33.415,84.3907
33.5242,84.2242
32.8829,83.7505
32.8553,83.7114
32.2595,83.4633
32.647,83.7157
32.8819,83.872
33.8142,84.3511
31.5905,84.2229
31.6092,84.1711
33.6634,84.7964
31.8494,83.9123
31.6503,84.1043
32.6282,83.6985
32.8688,83.5859
32.7623,84.0235
32.8685,83.6887
33.7876,84.8179
32.4442,84.9511
32.5696,84.9589
32.5773,83.7009
33.0338,85.0778
32.9188,83.7321
31.7537,84.4244
34.8927,84.0362
33.62,84.3733
31.2879,82.8515
33.5379,84.3991
32.321,84.5126
32.5717,83.8988
33.9144,83.7675
34.2741,84.1834
32.4612,84.9214
33.8539,84.6178
30.902,84.5765
30.8858,84.2184
31.6248,84.163
31.9466,84.0715
33.9981,84.5033
32.1954,83.1698
32.9016,83.2851
32.5272,84.8695
34.0964,84.5282
31.2252,84.2182
34.2427,84.4641
34.2357,84.4257
31.5778,84.1686
33.6682,84.2763
33.8865,84.2915
34.0574,84.0385
32.8853,85.1658
34.1443,83.7565
32.8941,83.542
34.2375,84.1036
34.2269,84.1121
32.5642,83.6764
33.2932,83.9392
32.4958,83.7022
32.419,84.9552
33.1068,83.2425
31.2006,83.7929
32.7462,84.9019
33.5436,85.149
32.9186,83.3131
34.2324,84.8452
32.7537,82.2861
32.615,83.7387
32.5583,82.9095
33.0813,83.2268
34.1419,84.2037
32.774,83.1841
33.5603,84.2519
31.5095,83.4343
30.7043,83.0637
33.0652,83.2182
31.4193,83.3299
31.1231,83.7559
34.0345,84.408
34.8317,83.867
33.3928,84.7177
32.3977,83.3547
30.9521,84.5249
31.8856,85.1592
32.6396,83.667
33.3417,83.3921
31.7252,84.1662
39.6998,78.185
32.8088,81.6976
32.59,83.704
34.3626,83.7928
33.5722,83.7869
31.9121,83.0546
32.5584,84.955
32.4714,84.9358
34.0728,84.6019
32.6132,83.6349
32.5574,84.957
34.1155,84.2676
32.8889,84.3235
32.6667,83.7606
32.516,84.8909
32.6001,83.6267
32.4482,83.7126
32.4726,84.9476
32.76,84.8927
32.8351,83.6495
32.8879,83.5507
32.8248,83.1937
31.829,82.7068
32.8394,83.6388
32.4895,82.9606
32.033,82.8969
32.7277,82.7123
32.8972,83.6958
33.7787,84.577
30.898,83.202
33.7929,84.5923
31.2967,83.5606
33.6724,84.3705
31.448,83.5144
33.9279,84.4973
32.5095,84.9842
33.9218,84.4987
33.524,84.1597
34.1429,84.582
32.5286,84.9256
33.2837,83.22
32.2043,84.2714
33.5107,84.3153
34.0171,85.0225
33.3875,84.7064
30.8711,83.2931
33.1082,83.2459
33.5723,84.4976
32.5337,83.654
31.716,83.194
32.3872,83.0457
33.8128,84.1675
33.9579,84.3095
33.9252,84.4677
32.6166,83.7613
33.1091,83.9417
33.0809,83.1438
33.9003,84.1599
31.5502,84.1266
32.5442,83.6848
31.5823,84.1307
34.5406,83.3283
34.0834,84.2307
33.1216,85.0565
32.4039,83.3631
32.6112,83.623
31.9523,83.4431
34.1035,84.0567
33.5568,84.2123
31.5665,84.1657
31.235,84.2128
33.4607,84.654
33.6721,84.3165
33.5813,84.5391
31.2933,82.8418
32.5248,84.9543
33.6386,84.4953
34.2888,84.1998
32.8494,83.5271
32.5228,82.9221
32.4595,84.5378
33.3864,84.5087
33.877,84.6553
30.887,83.9187
32.8954,83.7365
33.5732,84.3907
